City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,walvis bay,-22.9575,14.5053,16.1,38,0,2.01,NA,1694501317
169,el sauzal de rodriguez,31.9,-116.6833,20.79,82,97,3.91,MX,1694501317
170,kapuskasing,49.4169,-82.4331,7.05,93,100,4.12,CA,1694501318
171,woodstock,43.1334,-80.7497,17.59,86,100,2.41,CA,1694501302
172,tulu bolo,8.6667,38.2167,15.17,94,100,2.74,ET,1694501318
173,newman,37.3138,-121.0208,22.13,70,0,1.87,US,1694501318
174,floro,61.5996,5.0328,12.2,82,40,6.69,NO,1694501318
175,jayapura,-2.5333,140.7,32.66,81,24,3.23,ID,1694501318
176,kem',64.9555,34.5793,17.5,74,59,6.16,RU,1694501319
177,at taj,24.2049,23.2857,27.94,30,0,4.61,LY,1694501319
178,metlili chaamba,32.2667,3.6333,26.52,34,75,0.0,DZ,1694501319
179,happy valley-goose bay,53.3168,-60.3315,10.17,93,40,1.54,CA,1694501110
180,lompoc,34.6391,-120.4579,16.12,85,100,12.52,US,1694501313
181,wauchope,-31.45,152.7333,18.31,61,95,1.68,AU,1694501320
182,ouarzazat,30.9189,-6.8934,20.16,17,40,2.57,MA,1694501320
183,bac lieu,9.285,105.7244,29.3,73,76,5.33,VN,1694501320
184,egilsstadir,65.2653,-14.3948,-0.05,74,0,2.06,IS,1694501320
185,aldama,22.9167,-98.0667,27.43,92,0,0.89,MX,1694501321
186,alghero,40.5589,8.3181,18.05,88,0,0.0,IT,1694500901
187,st. john's,47.5649,-52.7093,13.77,97,100,3.58,CA,1694501208
188,aasiaat,68.7098,-52.8699,0.12,78,100,3.43,GL,1694501321
189,santa terezinha,-29.9002,-50.0904,17.74,92,100,2.19,BR,1694501321
190,kodiak,57.79,-152.4072,7.73,87,100,0.0,US,1694501322
191,box elder,41.5005,-112.8764,21.87,44,74,1.1,US,1694501322
192,greymouth,-42.4667,171.2,9.63,87,100,7.04,NZ,1694501322
193,port mathurin,-19.6833,63.4167,23.01,72,99,8.67,MU,1694501322
194,mwene-ditu,-7.0,23.45,27.56,51,10,1.85,CD,1694501323
195,champerico,14.3,-91.9167,25.39,85,100,2.97,GT,1694501323
196,navlya,52.8281,34.4989,17.96,52,22,2.02,RU,1694501323
197,mont-tremblant,46.1949,-74.6264,14.09,94,98,0.51,CA,1694501170
198,tuscaloosa,33.2098,-87.5692,22.8,83,0,0.0,US,1694501238
199,nova sintra,14.8667,-24.7167,24.67,78,14,2.69,CV,1694501324
200,rio gallegos,-51.6226,-69.2181,5.03,75,0,2.06,AR,1694501324
201,vila franca do campo,37.7167,-25.4333,21.05,99,29,1.21,PT,1694501324
202,lamu,-2.2717,40.902,28.12,74,18,4.4,KE,1694501324
203,salalah,17.0151,54.0924,30.05,79,40,4.63,OM,1694501325
204,san pedro pochutla,15.7333,-96.4667,25.4,86,56,1.41,MX,1694501325
205,trairi,-3.2778,-39.2689,25.17,74,0,5.71,BR,1694501325
